City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
59,Thompson,55.7435,-97.8558,-20.04,76,75,4.61,CA,broken clouds,2022-02-12 07:23:10
60,Severo-Kurilsk,50.6789,156.125,22.95,77,65,7.4,RU,broken clouds,2022-02-12 07:23:11
61,Sola,-13.8833,167.55,78.58,84,100,16.6,VU,moderate rain,2022-02-12 07:23:12
62,Torbay,47.6666,-52.7314,33.58,90,40,18.41,CA,scattered clouds,2022-02-12 07:23:12
63,Batemans Bay,-35.7167,150.1833,71.2,89,96,8.57,AU,overcast clouds,2022-02-12 07:23:12
64,Atuona,-9.8,-139.0333,77.67,77,10,14.03,PF,light rain,2022-02-12 07:23:13
65,Boende,-0.2167,20.8667,85.35,53,100,3.8,CD,overcast clouds,2022-02-12 07:23:13
66,Saint George,37.1041,-113.5841,59.59,26,0,18.41,US,clear sky,2022-02-12 07:19:26
67,Ngunguru,-35.6167,174.5,77.16,90,94,25.39,NZ,overcast clouds,2022-02-12 07:23:14
68,Nemuro,43.3236,145.575,27.03,70,100,2.48,JP,overcast clouds,2022-02-12 07:23:14
69,Bojnurd,37.4747,57.329,39.15,87,100,2.3,IR,overcast clouds,2022-02-12 07:23:15
70,Puerto Ayora,-0.7393,-90.3518,71.55,99,100,1.99,EC,overcast clouds,2022-02-12 07:23:15
71,San Cristobal,7.7669,-72.225,64.81,86,100,0.89,VE,overcast clouds,2022-02-12 07:23:16
72,Aktau,43.65,51.2,45.18,80,100,8.84,KZ,overcast clouds,2022-02-12 07:23:16
73,Cherskiy,68.75,161.3,-28.71,98,100,7.43,RU,overcast clouds,2022-02-12 07:23:17
74,Yellowknife,62.456,-114.3525,-17.88,83,20,2.3,CA,few clouds,2022-02-12 07:23:17
75,Victoria,22.2855,114.1577,75.96,79,32,8.01,HK,scattered clouds,2022-02-12 07:22:37
76,New Norfolk,-42.7826,147.0587,69.89,42,97,1.01,AU,overcast clouds,2022-02-12 07:23:17
77,Longyearbyen,78.2186,15.6401,19.24,86,75,9.22,SJ,light snow,2022-02-12 07:23:18
78,Lata,40.1629,-8.3327,50.92,95,44,1.07,PT,scattered clouds,2022-02-12 07:23:18
79,Banjar,-8.19,114.9675,85.91,85,100,4.63,ID,light rain,2022-02-12 07:23:19
80,Vaini,-21.2,-175.2,80.76,94,20,6.91,TO,few clouds,2022-02-12 07:23:19
81,Moss Point,30.4116,-88.5345,48.25,93,100,0.0,US,fog,2022-02-12 07:23:19
82,Vila Velha,-20.3297,-40.2925,73.35,97,0,2.3,BR,light rain,2022-02-12 07:21:59
83,Tiksi,71.6872,128.8694,-9.81,92,100,16.93,RU,overcast clouds,2022-02-12 07:23:20
84,Macau,22.2006,113.5461,73.85,77,20,9.22,MO,few clouds,2022-02-12 07:18:48
85,Leshukonskoye,64.8989,45.7622,19.81,96,99,5.84,RU,light snow,2022-02-12 07:23:21
86,Auki,-8.7676,160.7034,77.34,88,100,2.55,SB,heavy intensity rain,2022-02-12 07:23:21
87,Stephenville Crossing,48.5,-58.4318,21.33,93,100,8.05,CA,overcast clouds,2022-02-12 07:23:22
88,Provideniya,64.3833,-173.3,-14.93,86,1,9.13,RU,clear sky,2022-02-12 07:24:22
89,Darlawn,24.0167,92.9,65.8,29,4,3.94,IN,clear sky,2022-02-12 07:24:23
90,Komsomolskiy,40.4272,71.7189,42.15,81,75,4.61,UZ,mist,2022-02-12 07:24:23
91,Cabo San Lucas,22.8909,-109.9124,66.51,74,0,1.99,MX,clear sky,2022-02-12 07:19:44
92,Bangalore,12.9762,77.6033,83.21,37,25,11.5,IN,scattered clouds,2022-02-12 07:22:02
93,Tuktoyaktuk,69.4541,-133.0374,-17.28,96,92,2.53,CA,overcast clouds,2022-02-12 07:24:24
94,Mahebourg,-20.4081,57.7,84.25,78,40,13.8,MU,scattered clouds,2022-02-12 07:24:24
95,Wuwei,37.9281,102.6414,34.36,47,100,8.77,CN,overcast clouds,2022-02-12 07:24:25
96,Larsnes,62.2028,5.5773,39.02,97,100,11.72,NO,light rain,2022-02-12 07:24:26
